iter	Passed	Remaining
193	47515	319869
194	47741	319500
195	47985	319247
196	48217	318922
197	48468	318715
198	48698	318374
199	48939	318104
200	49178	317826
201	49405	317465
202	49655	317255
203	49892	316961
204	50163	316884
205	50389	316523
206	50643	316337
207	50874	316008
208	51114	315734
209	51342	315387
210	51565	315015
211	51803	314731
212	52043	314457
213	52284	314198
214	52513	313861
215	52748	313561
216	52985	313275
217	53225	313005
218	53471	312773
219	53698	312425
220	53964	312307
221	54205	312047
222	54459	311858
223	54690	311539
224	54926	311248
225	55161	310954
226	55393	310643
227	55641	310423
228	55877	310129
229	56134	309958
230	56369	309663
231	56614	309427
232	56850	309139
233	57083	308835
234	57316	308535
235	57545	308209
236	57780	307920
237	58012	307613
238	58237	307271
239	58476	307002
240	58719	306755
241	59014	306776
242	59298	306742
243	59548	306527
244	59792	306283
245	60023	305972
246	60262	305702
247	60497	305416
248	60733	305131
249	60986	304931
250	61231	304691
251	61486	304506
252	61719	304207
253	62057	304421
254	62322	304279
255	62555	303982
256	62806	303770
257	63032	303435
258	63268	303153
259	63507	302882
260	63737	302568
261	63879	301842
262	64145	301701
263	64379	301413
264	64617	301142
265	64849	300844
266	65086	300568
267	65328	300314
268	65563	300033
269	65815	299824
270	66058	299576
271	66301	299333
272	66530	299021
273	66764	298734
274	66993	298423
275	67232	298161
276	67467	297880
277	67700	297589
278	67948	297368
279	68186	297097
280	68421	296817
281	68657	296542
282	68889	296250
283	69172	296176
284	69402	295872
285	69636	295591
286	69872	295315
287	70110	295048
288	70351	294793
289	70594	294549
290	70832	294282
291	71056	293961
292	71296	293701
293	71517	293368
294	71757	293110
295	72003	292880
296	72239	292607
297	72490	292393
298	72720	292097
299	72962	291851
300	73192	291555
301	73432	291298
302	73659	290990
303	73928	290849
304	74159	290559
305	74391	290272
306	74630	290014
307	74868	289750
308	75109	289501
309	75337	289198
310	75582	288964
311	75770	288511
312	76005	288238
313	76237	287953
314	76479	287706
315	76708	287413
316	76945	287148
317	77197	286940
318	77425	286644
319	77656	286357
320	77885	286063
321	78127	285820
322	78352	285515
323	78622	285370
324	78852	285080
325	79079	284784
326	79334	284584
327	79562	284289
328	79802	284040
329	80030	283742
330	80265	283474
331	80497	283195
332	80726	282906
333	80959	282632
334	81183	282324
335	81414	282041
336	81663	281822
337	81891	281531
338	82131	281282
339	82364	281006
340	82598	280738
341	82834	280476
342	83065	280193
343	83332	280036
344	83573	279788
345	83821	279567
346	84057	279303
347	84303	279074
348	84539	278811
349	84780	278564
350	85011	278285
351	85247	278024
352	85490	277782
353	85718	277496
354	85953	277231
355	86213	277045
356	86466	276838
357	86709	276599
358	86976	276436
359	87234	276243
360	87372	275670
361	87618	275441
362	87852	275174
363	88101	274955
364	88333	274681
365	88616	274565
366	88856	274317
367	89089	274046
368	89443	274147
369	89709	273977
370	89966	273779
371	90221	273575
372	90494	273424
373	90776	273299
374	91032	273098
375	91279	272868
376	91525	272633
377	91794	272468
378	92031	272207
379	92264	271937
380	92496	271664
381	92730	271394
382	92959	271111
383	93214	270903
384	93508	270810
385	93765	270609
386	94001	270344
387	94234	270073
388	94477	269831
389	94719	269585
390	94955	269325
391	95195	269071
392	95449	268860
393	95699	268639
394	95940	268390
395	96177	268130
396	96413	267870
397	96670	267665
398	96922	267447
399	97196	267290
400	97541	267325
401	97802	267132
402	98044	266885
403	98324	266741
404	98569	266503
405	98806	266241
406	99048	265993
407	99295	265762
408	99550	265550
409	99803	265332
410	100062	265129
411	100308	264892
412	100536	264606
413	100790	264392
414	101017	264106
415	101249	263833
416	101501	263612
417	101743	263364
418	101990	263130
419	102242	262910
420	102487	262669
421	102721	262402
422	102959	262143
423	103183	261852
424	103445	261657
425	103679	261389
426	103911	261117
427	104148	260857
428	104374	260570
429	104619	260332
430	104856	260073
431	105083	259790
432	105321	259532
433	105549	259253
434	105779	258978
435	106007	258696
436	106235	258416
437	106482	258183
438	106721	257931
439	106971	257703
440	107208	257446
441	107433	257160
442	107671	256905
443	107898	256623
444	108175	256460
445	108425	256233
446	108669	255994
447	108894	255707
448	109155	255507
449	109396	255257
450	109639	255015
451	109879	254765
452	110118	254512
453	110348	254239
454	110581	253971
455	110823	253728
456	111055	253460
457	111306	253235
458	111551	252996
459	111801	252768
460	112025	252482
461	112252	252202
462	112512	251999
463	112743	251728
464	112975	251461
465	113205	251189
466	113440	250930
467	113680	250680
468	113920	250430
469	114170	250203
470	114421	249978
471	114665	249737
472	114902	249481
473	115156	249263
474	115389	248998
475	115622	248733
476	115850	248460
477	116084	248198
478	116324	247949
479	116556	247681
480	116789	247418
481	117020	247150
482	117254	246889
483	117521	246698
484	117758	246443
485	117998	246193
486	118238	245944
487	118487	245716
488	118719	245451
489	118952	245188
490	119192	244939
491	119421	244668
492	119652	244402
493	119885	244138
494	120136	243912
495	120382	243678
496	120635	243454
497	120867	243191
498	121103	242935
499	121336	242672
500	121570	242413
501	121805	242155
502	122031	241880
503	122260	241609
504	122553	241466
505	122819	241270
506	123060	241023
507	123292	240760
508	123517	240483
509	123742	240205
510	123975	239945
511	124199	239665
512	124426	239393
513	124656	239127
514	124880	238849
515	125122	238605
516	125346	238328
517	125585	238078
518	125817	237817
519	126048	237553
520	126286	237302
521	126515	237034
522	126734	236748
523	126966	236487
524	127208	236243
525	127467	236033
526	127731	235830
527	127964	235570
528	128190	235297
529	128427	235047
530	128655	234777
531	128889	234520
532	129129	234274
533	129363	234017
534	129613	233788
535	129849	233534
536	130081	233274
537	130319	233025
538	130555	232771
539	130791	232517
540	131018	232248
541	131248	231984
542	131489	231741
543	131713	231467
544	131964	231239
545	132218	231018
546	132452	230762
547	132682	230500
548	132908	230230
549	133147	229981
550	133370	229706
551	133593	229432
552	133826	229174
553	134053	228907
554	134295	228665
555	134534	228418
556	134776	228176
557	135012	227924
558	135250	227675
559	135492	227434
560	135730	227185
561	135981	226958
562	136207	226689
563	136459	226464
564	136699	226220
565	136920	225942
566	137181	225732
567	137462	225554
568	137698	225302
569	137961	225095
570	138365	225116
571	138680	224991
572	138991	224860
573	139286	224702
574	139594	224565
575	139878	224387
576	140252	224355
577	140531	224169
578	140839	224029
579	141138	223874
580	141431	223709
581	141717	223534
582	141999	223350
583	142267	223145
584	142521	222918
585	142850	222807
586	143103	222578
587	143361	222355
588	143608	222118
589	143881	221918
590	144146	221707
591	144408	221491
592	144669	221273
593	144921	221041
594	145166	220799
595	145411	220557
596	145659	220319
597	145911	220087
598	146153	219840
599	146407	219610
600	146656	219374
601	146904	219136
602	147146	218889
603	147390	218646
604	147672	218457
605	147920	218219
606	148187	218009
607	148421	217749
608	148777	217669
609	149017	217418
610	149272	217190
611	149524	216956
612	149764	216706
613	150004	216455
614	150247	216210
615	150503	215982
616	150775	215776
617	151017	215530
618	151267	215293
619	151510	215046
620	151755	214803
621	152038	214613
622	152317	214418
623	152584	214205
624	152854	213996
625	153144	213814
626	153406	213594
627	153665	213369
628	153934	213158
629	154185	212923
630	154426	212672
631	154684	212446
632	154941	212219
633	155196	211987
634	155464	211774
635	155738	211569
636	155988	211331
637	156255	211116
638	156513	210889
639	156778	210671
640	157014	210414
641	157315	210244
642	157566	210006
643	157813	209764
644	158063	209526
645	158321	209298
646	158565	209051
647	158817	208814
648	159063	208572
649	159317	208337
650	159598	208140
651	159870	207929
652	160122	207693
653	160371	207452
654	160610	207199
655	160866	206969
656	161114	206726
657	161342	206459
658	161593	206221
659	161843	205982
660	162124	205782
661	162370	205539
662	162631	205313
663	162874	205065
664	163127	204828
665	163477	204715
666	163731	204480
667	163992	204254
668	164264	204041
669	164533	203825
670	164801	203607
671	165063	203381
672	165327	203158
673	165574	202914
674	165833	202685
675	166075	202434
676	166335	202206
677	166619	202008
678	166898	201801
679	167147	201559
680	167402	201324
681	167657	201090
682	167914	200857
683	168156	200607
684	168406	200366
685	168651	200120
686	168905	199884
687	169151	199637
688	169394	199389
689	169643	199146
690	169886	198897
691	170123	198640
692	170379	198407
693	170621	198156
694	170864	197907
695	171130	197684
696	171389	197455
697	171639	197212
698	171922	197009
699	172171	196767
700	172419	196523
701	172664	196277
702	172924	196047
703	173175	195806
704	173424	195563
705	173668	195315
706	173916	195071
707	174162	194826
708	174404	194575
709	174656	194335
710	174913	194101
711	175158	193855
712	175406	193610
713	175774	193499
714	176032	193266
715	176273	193014
716	176565	192818
717	176818	192579
718	177060	192328
719	177320	192096
720	177577	191862
721	177819	191611
722	178088	191390
723	178327	191135
724	178580	190896
725	178833	190657
726	179091	190423
727	179331	190169
728	179579	189925
729	179826	189679
730	180071	189432
731	180328	189197
732	180577	188953
733	180825	188709
734	181092	188484
735	181388	188289
736	181654	188062
737	181907	187822
738	182156	187579
739	182406	187336
740	182668	187105
741	182911	186855
742	183162	186613
743	183417	186375
744	183665	186130
745	183909	185881
746	184153	185632
747	184396	185383
748	184646	185139
749	184908	184908
750	185200	184706
751	185490	184503
752	185774	184293
753	186030	184056
754	186276	183808
755	186527	183566
756	186775	183321
757	187028	183081
758	187291	182849
759	187538	182602
760	187777	182348
761	188033	182111
762	188270	181855
763	188513	181604
764	188769	181366
765	189026	181129
766	189278	180888
767	189548	180663
768	189794	180415
769	190039	180166
770	190284	179918
771	190524	179665
772	190781	179428
773	191049	179201
774	191301	178959
775	191544	178709
776	191796	178466
777	192035	178212
778	192278	177962
779	192516	177707
780	192774	177471
781	193023	177225
782	193264	176973
783	193511	176727
784	193765	176487
785	194022	176249
786	194268	176002
787	194514	175753
788	194762	175508
789	195020	175271
790	195280	175036
791	195606	174860
792	195876	174634
793	196123	174387
794	196372	174141
795	196632	173906
796	196874	173654
797	197110	173397
798	197363	173156
799	197621	172918
800	197865	172669
801	198106	172417
802	198365	172179
803	198619	171939
804	198869	171694
805	199109	171441
806	199371	171207
807	199625	170966
808	199899	170742
809	200142	170492
810	200400	170254
811	200637	169998
812	200901	169765
813	201155	169524
814	201404	169278
815	201643	169024
816	201898	168783
817	202159	168548
818	202404	168299
819	202645	168047
820	202892	167800
821	203149	167561
822	203399	167316
823	203645	167068
824	203886	166815
825	204128	166564
826	204377	166319
827	204631	166077
828	204903	165850
829	205159	165610
830	205407	165364
831	205671	165130
832	205910	164876
833	206150	164623
834	206398	164377
835	206652	164135
836	206899	163888
837	207140	163635
838	207379	163382
839	207628	163136
840	207889	162900
841	208138	162654
842	208384	162406
843	208628	162156
844	208875	161909
845	209113	161655
846	209365	161411
847	209638	161184
848	209888	160939
849	210144	160698
850	210392	160452
851	210642	160207
852	210891	159961
853	211145	159719
854	211385	159466
855	211635	159221
856	211897	158984
857	212165	158752
858	212528	158592
859	212774	158343
860	213026	158099
861	213273	157851
862	213515	157600
863	213756	157348
864	214005	157102
865	214244	156848
866	214513	156617
867	214792	156392
868	215041	156146
869	215295	155903
870	215554	155664
871	215801	155416
872	216036	155160
873	216292	154918
874	216550	154678
875	216800	154433
876	217055	154191
877	217311	153949
878	217558	153701
879	217825	153468
880	218093	153234
881	218347	152991
882	218606	152752
883	218855	152505
884	219147	152289
885	219409	152051
886	219668	151811
887	219912	151561
888	220170	151320
889	220415	151071
890	220664	150824
891	220932	150590
892	221190	150349
893	221440	150103
894	221696	149862
895	221955	149621
896	222219	149384
897	222471	149139
898	222733	148901
899	222977	148651
900	223224	148403
901	223477	148159
902	223732	147915
903	224019	147694
904	224282	147456
905	224529	147208
906	224781	146963
907	225023	146711
908	225279	146469
909	225532	146224
910	225775	145973
911	226026	145727
912	226288	145488
913	226546	145247
914	226798	145002
915	227152	144822
916	227434	144596
917	227702	144360
918	227977	144129
919	228251	143897
920	228528	143667
921	228814	143443
922	229146	143247
923	229423	143017
924	229701	142787
925	230000	142570
926	230296	142351
927	230585	142128
928	230867	141900
929	231149	141672
930	231434	141446
931	231715	141217
932	232004	140993
933	232281	140761
934	232578	140541
935	232858	140312
936	233130	140077
937	233415	139850
938	233700	139622
939	234008	139409
940	234276	139171
941	234555	138940
942	234823	138702
943	235074	138455
944	235325	138207
945	235587	137965
946	235830	137713
947	236081	137465
948	236332	137217
949	236579	136967
950	236826	136717
951	237072	136466
952	237317	136214
953	237563	135963
954	237818	135718
955	238066	135468
956	238322	135223
957	238577	134978
958	238819	134724
959	239089	134487
960	239340	134239
961	239668	134034
962	239924	133789
963	240177	133542
964	240421	133290
965	240668	133040
966	240923	132794
967	241162	132539
968	241402	132285
969	241649	132035
970	241885	131779
971	242137	131531
972	242413	131297
973	242677	131055
974	242929	130808
975	243183	130561
976	243435	130314
977	243672	130058
978	243914	129805
979	244183	129566
980	244418	129309
981	244668	129061
982	244920	128813
983	245157	128558
984	245402	128306
985	245653	128058
986	245888	127802
987	246139	127554
988	246396	127308
989	246660	127067
990	246903	126814
991	247154	126566
992	247400	126316
993	247648	126066
994	247884	125810
995	248131	125560
996	248393	125318
997	248645	125069
998	248909	124828
999	249153	124576
1000	249444	124348
1001	249688	124096
1002	249929	123843
1003	250174	123592
1004	250408	123335
1005	250648	123081
1006	250887	122827
1007	251127	122574
1008	251390	122331
1009	251659	122092
1010	251915	121846
1011	252160	121595
1012	252408	121345
1013	252661	121098
1014	252913	120850
1015	253159	120599
1016	253405	120349
1017	253656	120100
1018	253913	119854
1019	254198	119623
1020	254454	119376
1021	254707	119129
1022	254952	118878
1023	255189	118623
1024	255444	118376
1025	255696	118128
1026	255933	117874
1027	256184	117625
1028	256429	117374
1029	256683	117127
1030	256933	116878
1031	257181	116628
1032	257423	116376
1033	257662	116122
1034	257916	115875
1035	258158	115622
1036	258407	115374
1037	258666	115128
1038	258948	114894
1039	259204	114648
1040	259456	114400
1041	259704	114150
1042	259949	113899
1043	260204	113652
1044	260461	113406
1045	260718	113160
1046	260977	112915
1047	261215	112661
1048	261455	112408
1049	261704	112159
1050	261945	111906
1051	262194	111656
1052	262461	111415
1053	262774	111192
1054	263019	110941
1055	263280	110697
1056	263522	110445
1057	263801	110207
1058	264053	109959
1059	264305	109711
1060	264539	109456
1061	264788	109206
1062	265038	108957
1063	265277	108703
1064	265537	108459
1065	265783	108208
1066	266034	107959
1067	266274	107706
1068	266524	107457
1069	266770	107206
1070	267018	106956
1071	267260	106704
1072	267511	106456
1073	267760	106206
1074	268018	105960
1075	268264	105710
1076	268502	105456
1077	268789	105221
1078	269044	104974
1079	269294	104725
1080	269545	104476
1081	269798	104229
1082	270044	103978
1083	270301	103731
1084	270545	103480
1085	270797	103232
1086	271039	102979
1087	271286	102729
1088	271529	102478
1089	271774	102227
1090	272021	101977
1091	272267	101726
1092	272539	101485
1093	272789	101236
1094	273053	100992
1095	273316	100748
1096	273563	100497
1097	273835	100256
1098	274085	100007
1099	274332	99757
1100	274577	99506
1101	274848	99264
1102	275102	99017
1103	275357	98769
1104	275604	98519
1105	275847	98267
1106	276094	98017
1107	276346	97768
1108	276594	97518
1109	276837	97267
1110	277103	97023
1111	277356	96775
1112	277617	96530
1113	277928	96302
1114	278181	96053
1115	278436	95806
1116	278722	95569
1117	278971	95319
1118	279216	95068
1119	279468	94819
1120	279716	94569
1121	279966	94320
1122	280212	94069
1123	280452	93816
1124	280700	93566
1125	280953	93318
1126	281192	93065
1127	281443	92816
1128	281705	92571
1129	281958	92322
1130	282204	92072
1131	282454	91822
1132	282704	91573
1133	282962	91326
1134	283218	91079
1135	283505	90841
1136	283773	90597
1137	284047	90356
1138	284304	90108
1139	284575	89865
1140	284843	89621
1141	285096	89373
1142	285358	89127
1143	285620	88881
1144	285886	88637
1145	286136	88387
1146	286400	88142
1147	286670	87898
1148	286931	87652
1149	287182	87403
1150	287438	87155
1151	287697	86908
1152	287950	86659
1153	288186	86405
1154	288489	86172
1155	288749	85925
1156	288997	85675
1157	289240	85423
1158	289491	85174
1159	289740	84923
1160	289989	84673
1161	290229	84421
1162	290479	84171
1163	290836	83952
1164	291098	83706
1165	291349	83456
1166	291591	83204
1167	291843	82955
1168	292088	82704
1169	292335	82453
1170	292584	82203
1171	292854	81959
1172	293117	81713
1173	293364	81462
1174	293619	81213
1175	293876	80965
1176	294136	80718
1177	294412	80476
1178	294682	80231
1179	294956	79988
1180	295213	79740
1181	295484	79495
1182	295759	79252
1183	296039	79010
1184	296316	78767
1185	296594	78525
1186	296876	78283
1187	297121	78031
1188	297375	77782
1189	297622	77531
1190	297936	77298
1191	298204	77052
1192	298450	76801
1193	298708	76553
1194	298960	76303
1195	299217	76055
1196	299464	75804
1197	299705	75551
1198	299954	75301
1199	300225	75056
1200	300475	74806
1201	300726	74556
1202	300973	74305
1203	301223	74054
1204	301472	73804
1205	301703	73549
1206	301952	73299
1207	302205	73049
1208	302469	72802
1209	302720	72552
1210	303016	72313
1211	303268	72063
1212	303529	71816
1213	303791	71568
1214	304047	71319
1215	304294	71068
1216	304548	70819
1217	304806	70570
1218	305050	70319
1219	305297	70068
1220	305540	69816
1221	305785	69564
1222	306022	69311
1223	306269	69060
1224	306606	68829
1225	306855	68579
1226	307104	68328
1227	307349	68077
1228	307625	67832
1229	307884	67584
1230	308129	67332
1231	308370	67080
1232	308613	66828
1233	308865	66578
1234	309097	66324
1235	309347	66074
1236	309593	65822
1237	309824	65568
1238	310074	65318
1239	310316	65066
1240	310562	64815
1241	310810	64564
1242	311055	64313
1243	311300	64061
1244	311554	63812
1245	311808	63562
1246	312058	63312
1247	312339	63068
1248	312592	62818
1249	312833	62566
1250	313079	62315
1251	313345	62068
1252	313597	61818
1253	313838	61566
1254	314096	61317
1255	314351	61068
1256	314607	60819
1257	314856	60568
1258	315094	60315
1259	315342	60065
1260	315587	59814
1261	315834	59563
1262	316082	59312
1263	316341	59063
1264	316627	58820
1265	316876	58569
1266	317128	58319
1267	317372	58068
1268	317617	57816
1269	317876	57568
1270	318133	57319
1271	318375	57067
1272	318642	56819
1273	318878	56567
1274	319134	56317
1275	319375	56065
1276	319621	55814
1277	319873	55564
1278	320125	55314
1279	320355	55061
1280	320605	54810
1281	320860	54561
1282	321105	54310
1283	321389	54065
1284	321637	53814
1285	321877	53562
1286	322135	53313
1287	322386	53063
1288	322630	52812
1289	322886	52562
1290	323151	52315
1291	323415	52066
1292	323664	51816
1293	323988	51577
1294	324272	51332
1295	324534	51084
1296	324779	50832
1297	325023	50581
1298	325264	50329
1299	325529	50081
1300	325780	49831
1301	326037	49581
1302	326289	49331
1303	326587	49088
1304	326827	48836
1305	327071	48584
1306	327323	48334
1307	327571	48083
1308	327821	47833
1309	328069	47582
1310	328327	47333
1311	328586	47083
1312	328832	46832
1313	329078	46581
1314	329336	46332
1315	329592	46082
1316	329846	45832
1317	330100	45582
1318	330347	45331
1319	330594	45081
1320	330848	44831
1321	331100	44580
1322	331349	44330
1323	331619	44082
1324	331870	43831
1325	332124	43581
1326	332380	43332
1327	332634	43082
1328	332877	42830
1329	333125	42579
1330	333375	42329
1331	333624	42078
1332	333884	41829
1333	334149	41580
1334	334427	41333
1335	334695	41085
1336	334946	40834
1337	335194	40584
1338	335444	40333
1339	335681	40081
1340	335922	39829
1341	336179	39579
1342	336415	39327
1343	336701	39081
1344	336950	38830
1345	337203	38580
1346	337452	38329
1347	337695	38078
1348	337939	37827
1349	338187	37576
1350	338528	37335
1351	338788	37086
1352	339054	36837
1353	339314	36587
1354	339574	36338
1355	339822	36087
1356	340069	35836
1357	340324	35586
1358	340577	35335
1359	340837	35086
1360	341078	34834
1361	341319	34583
1362	341622	34337
1363	341865	34086
1364	342115	33835
1365	342358	33584
1366	342621	33334
1367	342875	33084
1368	343126	32833
1369	343374	32583
1370	343610	32330
1371	343865	32080
1372	344120	31830
1373	344369	31579
1374	344621	31329
1375	344859	31077
1376	345109	30826
1377	345355	30575
1378	345600	30324
1379	345844	30073
1380	346129	29825
1381	346385	29575
1382	346639	29325
1383	346882	29073
1384	347126	28822
1385	347382	28572
1386	347618	28320
1387	347868	28070
1388	348118	27819
1389	348370	27568
1390	348623	27318
1391	348870	27067
1392	349122	26817
1393	349396	26568
1394	349652	26317
1395	349904	26067
1396	350166	25817
1397	350414	25566
1398	350682	25317
1399	351091	25077
1400	351338	24826
1401	351594	24576
1402	351838	24325
1403	352097	24075
1404	352349	23824
1405	352622	23575
1406	352868	23323
1407	353121	23073
1408	353394	22823
1409	353647	22573
1410	353896	22322
1411	354166	22072
1412	354415	21821
1413	354668	21571
1414	354915	21320
1415	355178	21069
1416	355430	20819
1417	355718	20570
1418	355977	20320
1419	356231	20069
1420	356474	19818
1421	356724	19567
1422	356973	19316
1423	357218	19065
1424	357460	18813
1425	357716	18563
1426	357983	18313
1427	358232	18062
1428	358487	17811
1429	358724	17559
1430	358973	17309
1431	359226	17058
1432	359476	16807
1433	359719	16556
1434	359973	16305
1435	360231	16054
1436	360518	15805
1437	360788	15555
1438	361050	15305
1439	361305	15054
1440	361566	14803
1441	361819	14553
1442	362072	14302
1443	362335	14051
1444	362601	13801
1445	362853	13550
1446	363114	13299
1447	363375	13049
1448	363635	12798
1449	363902	12548
1450	364173	12298
1451	364536	12050
1452	364851	11801
1453	365154	11552
1454	365443	11302
1455	365722	11052
1456	365984	10801
1457	366233	10549
1458	366490	10298
1459	366745	10047
1460	367001	9796
1461	367255	9545
1462	367505	9294
1463	367769	9043
1464	368020	8792
1465	368262	8540
1466	368518	8289
1467	368769	8038
1468	369035	7787
1469	369302	7536
1470	369575	7285
1471	369829	7034
1472	370113	6784
1473	370368	6532
1474	370629	6281
1475	370891	6030
1476	371150	5779
1477	371389	5528
1478	371634	5276
1479	371897	5025
1480	372143	4774
1481	372388	4522
1482	372646	4271
1483	372896	4020
1484	373147	3769
1485	373403	3517
1486	373645	3266
1487	373895	3015
1488	374155	2764
1489	374396	2512
1490	374647	2261
1491	374946	2010
1492	375188	1759
1493	375436	1507
1494	375697	1256
1495	375956	1005
1496	376211	753
1497	376467	502
1498	376706	251
1499	376954	0
