iter	MultiClass
0	1.025020146
1	0.960276666
2	0.9031345332
3	0.8524031925
4	0.8072944952
5	0.7666714373
6	0.7294536929
7	0.6957371771
8	0.665005239
9	0.637814235
10	0.6118946874
11	0.5882449427
12	0.5666384289
13	0.5465955215
14	0.527540275
15	0.5104100301
16	0.4940475526
17	0.4786691588
18	0.4646326308
19	0.4513241695
20	0.4388306319
21	0.4273594951
22	0.4167278375
23	0.4068171797
24	0.3973866119
25	0.3886954057
26	0.3805321436
27	0.3726949678
28	0.3652593752
29	0.3580136961
30	0.3514700154
31	0.3453629904
32	0.3394737647
33	0.3338783742
34	0.3287497132
35	0.3240916371
36	0.3195658397
37	0.3155675607
38	0.3115996716
39	0.3075619762
40	0.3039501575
41	0.3005051915
42	0.2973835874
43	0.2941020049
44	0.2911930911
45	0.2885277809
46	0.285816735
47	0.2834542038
48	0.2811441454
49	0.2789441144
50	0.2768522513
51	0.2751106643
52	0.273379054
53	0.2715269052
54	0.2697293907
55	0.2680690737
56	0.2665718249
57	0.2652453207
58	0.2638633065
59	0.2623234158
60	0.2611541573
61	0.2600759051
62	0.2590380055
63	0.2577978912
64	0.2568294283
65	0.2559820429
66	0.2550703837
67	0.2541282788
68	0.2532296256
69	0.2522734562
70	0.251569101
71	0.2506726137
72	0.2498961521
73	0.2490921068
74	0.2483715085
75	0.247578869
76	0.2470103852
77	0.2463756403
78	0.2457350778
79	0.2452198004
80	0.2446750715
81	0.2442199503
82	0.2437819859
83	0.2432623561
84	0.2427888177
85	0.2423058796
86	0.241884523
87	0.2415194259
88	0.2411282197
89	0.2408718147
90	0.2405554691
91	0.2401938287
92	0.2397884618
93	0.2395334948
94	0.2391967924
95	0.238839545
96	0.2384997534
97	0.2381849442
98	0.2378478418
99	0.2375848583
100	0.2372567393
101	0.2370239672
102	0.236740266
103	0.2365210921
104	0.2362594999
105	0.2360075234
106	0.2358447773
107	0.2356170417
108	0.2353270581
109	0.2351213613
110	0.2348945508
111	0.2347348276
112	0.234564113
113	0.2342914711
114	0.2340928241
115	0.2339472165
116	0.2337185066
117	0.2335441185
118	0.2334113206
119	0.2332852089
120	0.2331441659
121	0.2330048909
122	0.2327572995
123	0.232620219
124	0.232477058
125	0.2323889251
126	0.2322476434
127	0.232113394
128	0.2319791323
129	0.2318554426
130	0.2317449774
131	0.2316504798
132	0.2315082173
133	0.2313506201
134	0.2312487
135	0.2311507806
136	0.231063883
137	0.2309748627
138	0.2308213895
139	0.23068894
140	0.2306215477
141	0.2304776602
142	0.2303766646
143	0.230295613
144	0.2301525355
145	0.2300594641
146	0.229994527
147	0.2298880519
148	0.229774777
149	0.2296701632
150	0.229533587
151	0.229377583
152	0.2292611877
153	0.2291482372
154	0.2290898217
155	0.2289790225
156	0.2288971303
157	0.2287416377
158	0.2286346645
159	0.2285304048
160	0.2284051107
161	0.2283278879
162	0.2282245371
163	0.2281771265
164	0.2281202835
165	0.2280571884
166	0.2278957085
167	0.2277832014
168	0.2277079705
169	0.2276213588
170	0.2275499448
171	0.2274541653
172	0.2273309708
173	0.2272477225
174	0.2271831541
175	0.2270784787
176	0.2269945054
177	0.2268707272
178	0.2267598971
179	0.2266771394
180	0.2265906348
181	0.2265041477
182	0.2264398391
183	0.2263479527
184	0.2262426541
185	0.2261827743
186	0.2261017331
187	0.2260455304
188	0.2259759388
189	0.2259174847
190	0.2258425067
191	0.2257603775
192	0.2256724229
193	0.2255542428
194	0.225462292
195	0.225396186
196	0.2253138166
197	0.2252415905
198	0.2251612964
199	0.2250723869
200	0.2250173713
201	0.224943272
202	0.2248835722
203	0.22481636
204	0.2247745875
205	0.2246944986
206	0.2246074026
207	0.2245582611
208	0.2244906078
209	0.2243691611
210	0.2242945016
211	0.2242107967
212	0.2241303332
213	0.2240420909
214	0.2239995313
215	0.2239049088
216	0.2238350249
217	0.2237389878
218	0.2236583928
219	0.2235681449
220	0.2234740453
221	0.2233892826
222	0.2233136717
223	0.223256877
224	0.2232202414
225	0.2231720984
226	0.2231042946
227	0.2230663202
228	0.2229909649
229	0.2228925907
230	0.2228427813
231	0.2227761397
232	0.2227114259
233	0.2226457268
234	0.2225818063
235	0.2224957314
236	0.2223930129
237	0.2223261006
238	0.2222903516
239	0.2222321817
240	0.2221816817
241	0.2221060768
242	0.2220394046
243	0.2219543224
244	0.2218764235
245	0.2218165368
246	0.2217450849
247	0.2217026791
248	0.2215909382
249	0.2215302816
250	0.2214443743
251	0.2213872769
252	0.221319641
253	0.2212775405
254	0.2211707771
255	0.2211083021
256	0.2210319618
257	0.2209557678
258	0.2208571149
259	0.220790423
260	0.2207395049
261	0.2206628962
262	0.2205871947
263	0.2205030483
264	0.2204717927
265	0.2204097245
266	0.2203398377
267	0.220280383
268	0.2202398499
269	0.2201981419
270	0.2201367174
271	0.2200450014
272	0.2199988981
273	0.2199464982
274	0.2198947603
275	0.2198246663
276	0.2197590119
277	0.2197147105
278	0.2196827761
279	0.2196186602
280	0.2195488458
281	0.2194857214
282	0.2194346703
283	0.2193669476
284	0.2192854099
285	0.2192254053
286	0.2191980875
287	0.2191405454
288	0.2190938625
289	0.2190358729
290	0.2189912132
291	0.2189228366
292	0.2188476681
293	0.2187920291
294	0.2187556139
295	0.2186814473
296	0.2185776501
297	0.2185226664
298	0.218485858
299	0.2184290774
300	0.2183873745
301	0.2183110258
302	0.2182586396
303	0.218203507
304	0.2181620934
305	0.2181089124
306	0.2180522068
307	0.218010611
308	0.2179512075
309	0.2178722573
310	0.2178052496
311	0.2176995554
312	0.2176620292
313	0.2175858153
314	0.217526526
315	0.2174874297
316	0.2173980778
317	0.2173417244
318	0.2172793213
319	0.2172544666
320	0.2172088055
321	0.2171470941
322	0.2170990804
323	0.2170546083
324	0.2170046342
325	0.2169552009
326	0.2169098773
327	0.2168505722
328	0.2168232628
329	0.2167614261
330	0.2167176913
331	0.2166684784
332	0.2166266857
333	0.2165655861
334	0.2164957146
335	0.2164273909
336	0.2163706979
337	0.2162805352
338	0.2162167831
339	0.2161704263
340	0.2161169537
341	0.216062621
342	0.2160128448
343	0.2159559131
344	0.2158987361
345	0.215815189
346	0.215772713
347	0.2157269493
348	0.2156738844
349	0.215599346
350	0.2155582233
351	0.2155116776
352	0.2154572252
353	0.2154200611
354	0.2153786162
355	0.2153209099
356	0.2152602249
357	0.2152029747
358	0.2151264819
359	0.2150907115
360	0.2150581118
361	0.2149971014
362	0.2149536137
363	0.2149072804
364	0.2148604982
365	0.214811531
366	0.2147754482
367	0.2147185908
368	0.2146690932
369	0.2146374659
370	0.2145992503
371	0.2145571512
372	0.2145103639
373	0.2144693903
374	0.214419841
375	0.2143970921
376	0.2143625244
377	0.2143028904
378	0.2142614603
379	0.2142185067
380	0.2141705333
381	0.2140961639
382	0.2140294718
383	0.2139969435
384	0.2139630919
385	0.2139161321
386	0.2138954889
387	0.2138571353
388	0.2137904777
389	0.2137251353
390	0.2136393766
391	0.2135785495
392	0.2135310506
393	0.213496295
394	0.2134590191
395	0.2134169898
396	0.2133837268
397	0.2133504249
398	0.2133038442
399	0.2132475661
400	0.2131830135
401	0.2131366697
402	0.2130894319
403	0.2130388887
404	0.2130076977
405	0.2129552605
406	0.2128914312
407	0.2128593307
408	0.2128209244
409	0.2127967031
410	0.2127651805
411	0.2127402613
412	0.2126907736
413	0.2126147049
414	0.2125781893
415	0.2125322812
416	0.2125050872
417	0.2124756066
418	0.2124249873
419	0.2123830193
420	0.2123090888
421	0.2122576981
422	0.2122237211
423	0.2121727841
424	0.2121290195
425	0.2120801989
426	0.2120366642
427	0.2119984956
428	0.211939481
429	0.2118643514
430	0.2118258778
431	0.2117741531
432	0.2117441953
433	0.2116838781
434	0.2116568626
435	0.2116050846
436	0.2115649629
437	0.2115217955
438	0.2114434733
439	0.2114009538
440	0.2113418987
441	0.2112985823
442	0.211247347
443	0.2112203192
444	0.211198856
445	0.2111706446
446	0.211110826
447	0.2110479964
448	0.2110123354
449	0.2109489656
450	0.2109110404
451	0.2108778998
452	0.21083519
453	0.2107939548
454	0.2107493433
455	0.2107038172
456	0.2106509312
457	0.2106030057
458	0.2105512907
459	0.210505753
460	0.2104593028
461	0.2104213621
462	0.2103830339
463	0.2103378768
464	0.2102927921
465	0.210268998
466	0.2102240279
467	0.2101815304
468	0.2101351111
469	0.2100957523
470	0.2100627289
471	0.2100345509
472	0.2099883607
473	0.209963113
474	0.2099176243
475	0.2098631563
476	0.2098191554
477	0.2097810352
478	0.2097468029
479	0.2097008205
480	0.2096478818
481	0.2096228083
482	0.209576477
483	0.2095339142
484	0.2095048852
485	0.2094740797
486	0.2094243638
487	0.2093809157
488	0.2093198287
489	0.2092730284
490	0.209243677
491	0.2092076487
492	0.2091599635
493	0.2090999195
494	0.2090604657
495	0.2090186503
496	0.208969808
497	0.2089312085
498	0.2089005286
499	0.2088622752
500	0.2088123907
501	0.2087711521
502	0.2087397082
503	0.2087004544
504	0.2086682391
505	0.2086284544
506	0.2085956745
507	0.2085420391
508	0.2085041314
509	0.2084615724
510	0.2084189559
511	0.2083657806
512	0.2083408818
513	0.2083170024
514	0.2082778415
515	0.208249606
516	0.20822579
517	0.2081684694
518	0.2081195891
519	0.2080653923
520	0.2080238894
521	0.2079729278
522	0.2079267595
523	0.2078836828
524	0.2078281625
525	0.2077990955
526	0.207759912
527	0.2076987007
528	0.2076566642
529	0.2075956175
530	0.2075714454
531	0.2075200054
532	0.2074772772
533	0.2074426183
534	0.2073965916
535	0.207369631
536	0.2073187148
537	0.2072738783
538	0.2072429827
539	0.2072287594
540	0.2071833331
541	0.207140025
542	0.2071105346
543	0.2070665443
544	0.2070159392
545	0.2069665487
546	0.2069471163
547	0.2068990715
548	0.2068432077
549	0.2067754921
550	0.2067497398
551	0.2067139151
552	0.2066741136
553	0.2066396631
554	0.2065845801
555	0.2065476866
556	0.2064943869
557	0.2064507859
558	0.2064160473
559	0.2063772256
560	0.2063453244
561	0.2063046449
562	0.2062621473
563	0.206192229
564	0.2061534463
565	0.2061122921
566	0.2060803142
567	0.2060469633
568	0.2060166646
569	0.2059848671
570	0.2059325955
571	0.2059122047
572	0.2058724626
573	0.2058307236
574	0.2057885739
575	0.205771276
576	0.2057247653
577	0.2056977647
578	0.2056506987
579	0.2056123544
580	0.2055846584
581	0.2055474451
582	0.2054944759
583	0.2054485848
584	0.2054048955
585	0.2053696408
586	0.2053271389
587	0.2052748387
588	0.2052385041
589	0.2051946566
590	0.2051616753
591	0.2051222822
592	0.2050952356
593	0.2050402164
594	0.2049761198
595	0.2049512334
596	0.2049132138
597	0.204869572
598	0.2048352714
599	0.2047855774
600	0.2047591351
601	0.2047126389
602	0.2046798053
603	0.2046437099
604	0.2046003859
605	0.2045769201
606	0.2045408441
607	0.2045063616
608	0.2044646584
609	0.204427718
610	0.204396539
611	0.2043597928
612	0.2043221689
613	0.2042770436
614	0.204227916
615	0.2042008848
616	0.204165348
617	0.2041294486
618	0.2040919233
619	0.2040396498
620	0.2040042896
621	0.2039677846
622	0.2039193937
623	0.2038860422
624	0.2038670202
625	0.2038322404
626	0.2037865878
627	0.2037348655
628	0.2036780707
629	0.203660144
630	0.2036009902
631	0.2035698978
632	0.2035453891
633	0.2035016298
634	0.2034637364
635	0.2034367234
636	0.2034119406
637	0.2033842124
638	0.2033247853
639	0.2032949252
640	0.2032600876
641	0.2032382047
642	0.2032217751
643	0.2031523587
644	0.2031103837
645	0.2030767063
646	0.2030515346
647	0.203031353
648	0.2029956277
649	0.2029628031
650	0.202938304
651	0.2029126278
652	0.202879397
653	0.2028196793
654	0.2027923845
655	0.2027647169
656	0.2027282877
657	0.2026753338
658	0.2026345291
659	0.2026151029
660	0.2025764073
661	0.2025499415
662	0.2025251568
663	0.2024922527
664	0.2024687016
665	0.2024383483
666	0.2024163415
667	0.2023871594
668	0.202347422
669	0.2023224117
670	0.2022633987
671	0.2022258709
672	0.2021934525
673	0.2021594749
674	0.2021192676
675	0.2020872478
676	0.2020667379
677	0.2020293561
678	0.2020059467
679	0.2019726025
680	0.2019279466
681	0.2019090132
682	0.2018624956
683	0.201801055
684	0.2017621711
685	0.2017087168
686	0.2016533719
687	0.2016320808
688	0.2015948516
689	0.2015401297
690	0.2015162119
691	0.2014951648
692	0.201470576
693	0.2014333423
694	0.2013840435
695	0.2013557993
696	0.2013243134
697	0.2012901085
698	0.2012446666
699	0.2011932426
700	0.201157616
701	0.201109501
702	0.2010823534
703	0.2010559122
704	0.2010390159
705	0.2009906603
706	0.2009575601
707	0.2009240448
708	0.200853417
709	0.2008018112
710	0.2007679461
711	0.2007265313
712	0.200701877
713	0.2006704678
714	0.2006382477
715	0.2006061525
716	0.2005753135
717	0.2005319934
718	0.2005103614
719	0.2004733772
720	0.2004349951
721	0.2003817484
722	0.200361892
723	0.2003404561
724	0.2003144538
725	0.2002857684
726	0.2002623612
727	0.2002135185
728	0.2001627449
729	0.200139509
730	0.2000700535
731	0.2000206446
732	0.1999715809
733	0.1999330761
734	0.1998848385
735	0.1998420689
736	0.1998048862
737	0.1997639499
738	0.1997281876
739	0.1996978547
740	0.1996578762
741	0.1996192862
742	0.1995933756
743	0.1995506189
744	0.1994997278
745	0.1994631239
746	0.1994329886
747	0.1994035337
748	0.1993575131
749	0.1993215359
750	0.1993019433
751	0.1992543278
752	0.1992248756
753	0.1992015015
754	0.199146269
755	0.1991114574
756	0.1990802949
757	0.1990477027
758	0.1990246153
759	0.1990026512
760	0.1989720521
761	0.1989381327
762	0.1989151722
763	0.198891614
764	0.198853707
765	0.1988203179
766	0.1987941121
767	0.1987679517
768	0.1987331341
769	0.1987075308
770	0.1986802326
771	0.1986472081
772	0.1986189268
773	0.1986012901
774	0.1985423567
775	0.1984934545
776	0.1984488557
777	0.1984157689
778	0.1983858346
779	0.1983607871
780	0.1983213121
781	0.1982726477
782	0.1982339524
783	0.1981953019
784	0.1981525727
785	0.198114991
786	0.1980845804
787	0.1980480596
788	0.1980239211
789	0.1979949054
790	0.1979617166
791	0.1979214782
792	0.1978866275
793	0.1978571856
794	0.197821892
795	0.1977789648
796	0.197727186
797	0.1976932606
798	0.1976638254
799	0.1976482306
800	0.1976238232
801	0.1975987158
802	0.1975672163
803	0.1975177361
804	0.1974851814
805	0.197435092
806	0.1974138472
807	0.1973753452
808	0.1973470749
809	0.1973260184
810	0.197285404
811	0.197258363
812	0.1972276387
813	0.197172865
814	0.1971289651
815	0.1970971455
816	0.1970528122
817	0.1970115133
818	0.1969847922
819	0.1969545595
820	0.1969275945
821	0.1968997951
822	0.1968854055
823	0.1968641823
824	0.1968290721
825	0.196773204
826	0.1967077423
827	0.1966883219
828	0.1966509589
829	0.1966095946
830	0.1965675844
831	0.196525005
832	0.1964790117
833	0.1964469099
834	0.1964090518
835	0.1963574409
836	0.1963110535
837	0.1962724186
838	0.1962218392
839	0.1962079188
840	0.1961688866
841	0.1961302457
842	0.1960821247
843	0.1960512942
844	0.1960159471
845	0.1959931303
846	0.1959725251
847	0.1959565429
848	0.1959342746
849	0.1958965217
850	0.1958611331
851	0.1958245134
852	0.1957916364
853	0.1957538582
854	0.1957221788
855	0.1956979286
856	0.1956589922
857	0.1956130262
858	0.1955749777
859	0.195523913
860	0.1954866697
861	0.1954431351
862	0.1954089117
863	0.1953561355
864	0.1953245741
865	0.1952871609
866	0.1952742902
867	0.195228892
